,Argument ID,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity,Conclusion,Stance,Premise,Cleaned_Premise,Cleaned_Conclusion,Cleaned_BOW,Cosine_Similarity_Self-direction: thought,Cosine_Similarity_Self-direction: action,Cosine_Similarity_Stimulation,Cosine_Similarity_Hedonism,Cosine_Similarity_Achievement,Cosine_Similarity_Power: dominance,Cosine_Similarity_Power: resources,Cosine_Similarity_Face,Cosine_Similarity_Security: personal,Cosine_Similarity_Security: societal,Cosine_Similarity_Tradition,Cosine_Similarity_Conformity: rules,Cosine_Similarity_Conformity: interpersonal,Cosine_Similarity_Humility,Cosine_Similarity_Benevolence: caring,Cosine_Similarity_Benevolence: dependability,Cosine_Similarity_Universalism: concern,Cosine_Similarity_Universalism: nature,Cosine_Similarity_Universalism: tolerance,Cosine_Similarity_Universalism: objectivity
0,A01001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Entrapment should be legalized,in favor of,"if entrapment can serve to more easily capture wanted criminals, then why shouldn't it be legal?","['entrapment', 'serve', 'easily', 'capture', 'wanted', 'criminal', 'shouldnt', 'legal']","['entrapment', 'legalized']","if entrapment can serve to more easily capture wanted criminals, then why shouldn't it be legal? Entrapment should be legalized in favor of",0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,A01002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,We should ban human cloning,in favor of,we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same.,"['ban', 'human', 'cloning', 'cause', 'huge', 'issue', 'bunch', 'human', 'running', 'around', 'acting']","['ban', 'human', 'cloning']",we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same. We should ban human cloning in favor of,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2,A01003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We should abandon marriage,against,"marriage is the ultimate commitment to someone, if people want it they should be allowrd","['marriage', 'ultimate', 'commitment', 'someone', 'people', 'want', 'allowrd']","['abandon', 'marriage']","marriage is the ultimate commitment to someone, if people want it they should be allowrd We should abandon marriage against",0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3,A01004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,We should ban naturopathy,against,it provides a useful income for some people,"['provides', 'useful', 'income', 'people']","['ban', 'naturopathy']",it provides a useful income for some people We should ban naturopathy against,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4,A01005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,We should ban fast food,in favor of,fast food should be banned because it is really bad for your health and is costly.,"['fast', 'food', 'banned', 'really', 'bad', 'health', 'costly']","['ban', 'fast', 'food']",fast food should be banned because it is really bad for your health and is costly. We should ban fast food in favor of,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
5,A01006,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,We should end the use of economic sanctions,against,sometimes economic sanctions are the only thing that will get the corrupt governments to take action,"['sometimes', 'economic', 'sanction', 'thing', 'get', 'corrupt', 'government', 'take', 'action']","['end', 'use', 'economic', 'sanction']",sometimes economic sanctions are the only thing that will get the corrupt governments to take action We should end the use of economic sanctions against,0.0,1.0000000000000002,1.0000000000000002,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
6,A01007,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,We should abolish capital punishment,against,capital punishment is sometimes the only option to keep criminals from committing more crimes.,"['capital', 'punishment', 'sometimes', 'option', 'keep', 'criminal', 'committing', 'crime']","['abolish', 'capital', 'punishment']",capital punishment is sometimes the only option to keep criminals from committing more crimes. We should abolish capital punishment against,0.0,1.0000000000000002,1.0000000000000002,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
7,A01008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,We should ban factory farming,against,"factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income.","['factory', 'farming', 'allows', 'production', 'cheap', 'food', 'necessity', 'family', 'surviving', 'low', 'income']","['ban', 'factory', 'farming']","factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income. We should ban factory farming against",0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
8,A01009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,We should fight for the abolition of nuclear weapons,against,nuclear weapons help keep the peace in uncertain times,"['nuclear', 'weapon', 'help', 'keep', 'peace', 'uncertain', 'time']","['fight', 'abolition', 'nuclear', 'weapon']",nuclear weapons help keep the peace in uncertain times We should fight for the abolition of nuclear weapons against,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
9,A01010,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,We should prohibit school prayer,against,it should be allowed if the student wants to pray as long as it is not interfering with his classes,"['allowed', 'student', 'want', 'pray', 'long', 'interfering', 'class']","['prohibit', 'school', 'prayer']",it should be allowed if the student wants to pray as long as it is not interfering with his classes We should prohibit school prayer against,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
